City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
57,kruisfontein,-34.0033,24.7314,8.27,70,28,2.69,ZA,1690940513
58,bafoulabe,13.8065,-10.8321,25.01,94,27,1.55,ML,1690940513
59,bubaque,11.2833,-15.8333,26.89,81,100,5.11,GW,1690940514
60,mahanoro,-19.9,48.8,19.45,81,0,2.94,MG,1690940514
61,weno,7.4515,151.8468,29.97,84,100,0.0,FM,1690940514
62,vilyuchinsk,52.9306,158.4028,20.15,68,68,0.47,RU,1690940514
63,south hedland,-20.4089,118.5983,23.96,57,100,0.0,AU,1690940515
64,ciudad lazaro cardenas,17.9583,-102.2,27.75,80,55,1.61,MX,1690940515
65,toba,34.4833,136.85,31.0,70,40,4.12,JP,1690940515
66,las tablas,7.7667,-80.2833,26.76,99,40,1.01,PA,1690940515
67,santa elena de uairen,4.6167,-61.1333,19.46,90,92,0.97,VE,1690940516
68,tiksi,71.6872,128.8694,9.08,78,100,1.81,RU,1690940516
69,nakskov,54.8373,11.1284,16.17,85,0,5.86,DK,1690940516
70,kalmunai,7.4167,81.8167,27.83,63,100,1.6,LK,1690940516
71,tralee,52.2704,-9.7026,13.78,96,100,3.38,IE,1690940517
72,atafu village,-8.5421,-172.5159,28.67,72,93,5.82,TK,1690940517
73,port elizabeth,-33.918,25.5701,6.16,93,0,0.51,ZA,1690940517
74,talnakh,69.4865,88.3972,19.56,47,4,5.05,RU,1690940517
75,qulsary,46.9531,54.0198,26.93,31,0,3.82,KZ,1690940519
76,stanley,54.868,-1.6985,13.96,94,75,1.54,GB,1690940519
77,mangrol,21.1167,70.1167,27.15,84,100,8.18,IN,1690940519
78,segorbe,39.8138,-0.4521,24.85,67,0,1.96,ES,1690940520
79,kirensk,57.7853,108.1119,21.07,66,21,3.16,RU,1690940520
80,cihanbeyli,38.6607,32.9244,21.45,51,47,3.44,TR,1690940520
81,lompoc,34.6391,-120.4579,22.08,79,100,7.6,US,1690940225
82,kabala,9.5833,-11.55,21.32,99,100,1.47,SL,1690940521
83,orizona,-17.0314,-48.2958,18.81,50,0,1.81,BR,1690940521
84,bethel,41.3712,-73.414,20.27,71,0,1.54,US,1690940521
85,gisborne,-38.6533,178.0042,12.08,66,75,6.45,NZ,1690940522
86,la barceloneta,41.3807,2.1899,26.21,86,40,2.57,ES,1690940522
87,nizhnesortymskiy,62.4397,71.7603,21.02,71,42,7.37,RU,1690940522
88,qaqortoq,60.7167,-46.0333,6.4,84,20,0.31,GL,1690940522
89,tsiombe,-25.3,45.4833,19.67,54,92,4.12,MG,1690940523
90,huasahuasi,-11.3167,-75.6167,1.68,78,0,0.58,PE,1690940523
91,tutong,4.8,114.65,29.05,70,88,1.9,BN,1690940523
92,maridi,4.9158,29.4742,19.55,96,100,0.93,SS,1690940523
93,thompson,55.7435,-97.8558,16.09,100,75,1.54,CA,1690940524
94,vorgashor,67.5833,63.95,18.55,73,10,3.72,RU,1690940524
95,guadalupe y calvo,26.1,-106.9667,12.87,97,100,1.13,MX,1690940524
96,shimanovsk,52.0,127.7,25.57,42,3,4.16,RU,1690940524
97,hawaiian paradise park,19.5933,-154.9731,29.29,71,20,7.72,US,1690940525
98,mili,6.0815,171.735,28.04,73,6,0.13,MH,1690940525
99,aripuana,-9.1667,-60.6333,26.24,46,38,1.05,BR,1690940525
100,constantia,44.1833,28.65,18.38,84,94,4.65,RO,1690940525
101,krasnyy chikoy,50.3643,108.7512,21.04,88,100,0.87,RU,1690940526
102,saldanha,-33.0117,17.9442,9.99,73,75,4.27,ZA,1690940280
103,jamestown,42.097,-79.2353,17.8,59,0,2.06,US,1690940526
104,kununurra,-15.7667,128.7333,27.99,28,52,6.69,AU,1690940527
105,pechora,65.1472,57.2244,19.06,58,94,3.69,RU,1690940527
106,muri,23.3667,85.8667,25.52,95,100,6.9,IN,1690940527
107,college,64.8569,-147.8028,25.99,46,40,4.12,US,1690940527
108,badger,64.8,-147.5333,25.95,46,20,4.12,US,1690940528
109,sarikei,2.1167,111.5167,27.83,68,97,1.02,MY,1690940528
110,anadyr,64.75,177.4833,13.28,76,20,7.0,RU,1690940528
111,isafjordur,66.0755,-23.124,9.37,86,90,1.91,IS,1690940528
112,barquisimeto,10.0739,-69.3228,22.35,83,68,5.14,VE,1690940252
113,ribeira grande,38.5167,-28.7,22.65,87,100,1.79,PT,1690940529
114,elista,46.3078,44.2558,21.29,60,62,4.0,RU,1690940529
115,ishqoshim,36.7248,71.6133,16.83,46,11,1.7,TJ,1690940529
116,burang,30.25,81.1667,12.11,75,53,1.14,CN,1690940530
117,necochea,-38.5473,-58.7368,11.29,54,0,2.7,AR,1690940530
118,fort st. john,56.2499,-120.8529,17.94,68,75,3.09,CA,1690940346
119,ta`u,-14.2336,-169.5144,26.99,82,100,5.48,AS,1690940530
120,yellowknife,62.456,-114.3525,22.29,43,75,3.09,CA,1690940531
121,kashgar,39.4547,75.9797,25.56,31,20,3.0,CN,1690940531
122,pacific grove,36.6177,-121.9166,21.23,87,100,4.12,US,1690940531
123,hengchun,22.0042,120.7439,28.68,84,78,8.52,TW,1690940531
124,lorengau,-2.0226,147.2712,28.26,78,87,4.58,PG,1690940532
125,tokar,18.4254,37.729,32.42,48,64,13.07,SD,1690940532
126,kirkwall,58.9848,-2.9587,12.03,87,100,0.51,GB,1690940532
127,taghazout,30.5426,-9.7112,20.43,80,0,0.21,MA,1690940532
128,mumbwa,-14.9783,27.0619,14.86,64,19,4.67,ZM,1690940533
129,wailua homesteads,22.0669,-159.378,30.24,75,40,8.23,US,1690940533
130,kuala terengganu,5.3302,103.1408,26.97,89,20,1.03,MY,1690940533
131,saipan,15.1355,145.701,29.8,100,40,2.57,MP,1690940533
132,lethem,3.3803,-59.7968,24.27,86,52,2.81,GY,1690940534
133,port alberni,49.2413,-124.8028,26.6,43,91,0.89,CA,1690940534
134,bandundu,-3.3167,17.3667,23.27,56,9,1.39,CD,1690940534
135,bredasdorp,-34.5322,20.0403,6.19,87,0,1.2,ZA,1690940534
136,sittwe,20.15,92.9,27.25,90,100,7.35,MM,1690940535
137,puerto natales,-51.7236,-72.4875,-0.54,74,100,8.27,CL,1690940535
138,san patricio,28.017,-97.5169,32.52,58,1,5.07,US,1690940535
139,dudinka,69.4058,86.1778,19.79,55,0,9.64,RU,1690940535
140,kailashahar,24.3333,92.0167,27.27,93,100,1.43,IN,1690940536
141,wewak,-3.5534,143.6268,29.47,70,20,4.48,PG,1690940536
142,arkhangel'sk,64.5401,40.5433,15.63,94,88,1.1,RU,1690940536
143,iskateley,67.6803,53.1512,18.52,72,0,4.46,RU,1690940536
144,beloretsk,53.9631,58.3981,14.81,91,7,1.03,RU,1690940537
145,biloela,-24.4167,150.5,24.22,40,61,6.39,AU,1690940537
146,itoman,26.1247,127.6694,26.21,100,75,28.29,JP,1690940537
147,kaeng khro,16.1086,102.2581,27.45,74,100,4.66,TH,1690940537
148,mejit,10.2753,170.8646,27.41,80,100,6.59,MH,1690940538
149,kone,-21.0595,164.8658,24.93,40,1,5.01,NC,1690940538
150,santiago de cao,-7.9589,-79.2392,22.07,78,75,3.09,PE,1690940538
151,uba,-21.12,-42.9428,14.74,88,0,0.64,BR,1690940538
152,georgetown,5.4112,100.3354,28.96,87,20,3.09,MY,1690940517
153,ola,59.5833,151.2833,21.75,62,99,3.53,RU,1690940539
154,pago pago,-14.2781,-170.7025,30.55,79,40,6.17,AS,1690940432
155,mutuali,-14.8706,37.0044,17.82,78,67,0.66,MZ,1690940539
156,acapulco de juarez,16.8634,-99.8901,29.9,70,75,3.6,MX,1690940457
157,mahibadhoo,3.7833,72.9667,28.05,71,100,3.69,MV,1690940540
158,hadibu,12.65,54.0333,26.1,79,91,11.02,YE,1690940540
159,okha,53.5739,142.9478,12.35,93,100,6.19,RU,1690940540
160,tikrit,34.6071,43.6782,34.65,16,0,4.9,IQ,1690940540
161,rantoul,40.3084,-88.1559,24.46,74,0,1.54,US,1690940541
162,broome,42.2506,-75.833,15.92,83,0,0.45,US,1690940541
163,touros,-5.1989,-35.4608,24.94,84,5,5.87,BR,1690940541
164,el calafate,-50.3408,-72.2768,-2.27,77,75,7.95,AR,1690940542
165,nguigmi,14.2495,13.1092,30.53,45,75,7.75,NE,1690940542
166,bulanash,57.2783,61.9965,17.37,83,97,1.97,RU,1690940542
167,carutapera,-1.195,-46.02,24.25,95,7,2.95,BR,1690940542
168,nuuk,64.1835,-51.7216,5.34,100,100,5.14,GL,1690940543
169,codrington,-38.2667,141.9667,14.3,69,0,6.19,AU,1690940543
170,palikir - national government center,6.9248,158.1611,32.41,62,40,2.57,FM,1690940543
171,east london,-33.0153,27.9116,12.59,67,9,3.47,ZA,1690940543
172,shenzhen,22.5455,114.0683,31.59,82,100,1.3,CN,1690939812
173,ustyuzhna,58.8394,36.4321,16.23,87,33,1.56,RU,1690940544
174,shingu,33.7333,135.9833,29.93,68,43,2.67,JP,1690940320
